X;Y;OBJECTID;StationName;WXID;ObservedDate;NESSID;NWSID;Elevation;SiteDescription;Latitude;Longitude;State;County;Agency;Region;Unit;SubUnit;Status;RainAccumulation;WindSpeedMPH;WindDirDegrees;AirTempStandPlace;FuelTemp;RelativeHumidity;BatteryVoltage;FuelMoisture;WindDirPeak;WindSpeedPeak;SolarRadiation;StationID;MesoWestStationID;MesoWestURL
-117.136;32.7830000000001;140;MISSION VALLEY;17568281;2024/02/08 15:50:14+00;CA801094;45747;300;;32.783;-117.136;CA;San Diego;S&PF;CALIFORNIA;;San Diego Gas & Elec;A;10.26 inches;3 mph;250 degrees;53 deg. F;49 deg. F;0%;13.3 volts;25.6 (unk);278 degrees;13 mph;77 w/m2;17568280;BVDC1;https://mesowest.utah.edu/cgi-bin/droman/meso_base_dyn.cgi?stn=BVDC1&unit=0&timetype=GMT
-138.21463;59.09063;141;DECEPTION HILLS;18734610;2024/02/08 19:25:05+00;3962A300;;2190;;59.09063;-138.21463;AK;Skagway-Hoonah-Angoon;NPS;ALASKA;SEAN Southeast AK Nt;;D;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;18734608;DHWA2;https://mesowest.utah.edu/cgi-bin/droman/meso_base_dyn.cgi?stn=DHWA2&unit=0&timetype=GMT
-112.38345;37.3310500000001;150;KFO PORTABLE 2;18377234;2024/02/08 19:38:04+00;AAB1460C;;6436;Between Thompson Wash and Bald Knoll, in the Upper Kanab Creek watershed.;37.33105;-112.38345;UT;Kane;BLM;R7 Upper CO Basin;KANAB;Kanab Field Office;A;82.1 inches;4 mph;125 degrees;29 deg. F;NO DATA;94%;12.3 volts;NO DATA;143 degrees;11 mph;113 w/m2;18377233;TT207;https://mesowest.utah.edu/cgi-bin/droman/meso_base_dyn.cgi?stn=TT207&unit=0&timetype=GMT
-148.81775;61.7337200000001;174;LITTLE GRANITE CREEK;17483556;2024/02/08 15:56:34+00;9A70305C;500975;939;;61.73372;-148.81775;AK;Anchorage;S&PF;ALASKA;DNR;;A;0 inches;1 mph;45 degrees;20 deg. F;NO DATA;56%;13.2 volts;NO DATA;45 degrees;8 mph;0 w/m2;17483555;LGKA2;https://mesowest.utah.edu/cgi-bin/droman/meso_base_dyn.cgi?stn=LGKA2&unit=0&timetype=GMT
-123.3198;40.2507400000001;204;RUTH;17305384;2024/02/08 20:23:04+00;3285F5E6;40508;2732;Valley station located near the Ruth Forest Service Station. Ground cover consists of grass, manzanita, pine and fir.;40.25074;-123.3198;CA;Trinity;USFS;5;SIX RIVERS NF;MAD RIVER;A;37.9 inches;4 mph;277 degrees;44 deg. F;61 deg. F;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;17305381;RLKC1;https://mesowest.utah.edu/cgi-bin/droman/meso_base_dyn.cgi?stn=RLKC1&unit=0&timetype=GMT
-119.963;39.2728300000001;229;KNOX 2;17705500;2024/02/08 20:19:14+00;91C0052A;260117;7568;;39.27283;-119.963;NV;Washoe;S&PF;NEVADA;;;A;3.04 inches;1 mph;113 degrees;30 deg. F;29 deg. F;87%;14.3 volts;27.3 (unk);120 degrees;6 mph;224 w/m2;17705497;KNXN2;https://mesowest.utah.edu/cgi-bin/droman/meso_base_dyn.cgi?stn=KNXN2&unit=0&timetype=GMT
-77.32307;34.8249900000001;230;HOFMANN FOREST;17274671;2024/02/08 20:10:35+00;3281B3D6;319507;42;Station is located in clearing of Pine Plantation;34.82499;-77.32307;NC;Onslow;S&PF;NORTH CAROLINA;DIV. OF FOREST RES.;D4 NEW BERN;A;2.6 inches;2 mph;343 degrees;61 deg. F;75 deg. F;38%;13.4 volts;8.1 (unk);329 degrees;6 mph;505 w/m2;17274670;HFMN7;https://mesowest.utah.edu/cgi-bin/droman/meso_base_dyn.cgi?stn=HFMN7&unit=0&timetype=GMT
-88.8001;36.16083;242;GREENFIELD;17393708;2024/02/08 20:05:14+00;2600176;401801;499;;36.16083;-88.8001;TN;Weakley;S&PF;TENNESSEE;DIVISION OF FORESTRY;West;A;6.81 inches;10 mph;340 degrees;63 deg. F;NO DATA;53%;13.2 volts;NO DATA;326 degrees;21 mph;205 w/m2;17393707;GNDT1;https://mesowest.utah.edu/cgi-bin/droman/meso_base_dyn.cgi?stn=GNDT1&unit=0&timetype=GMT
-91.54333;46.3441700000001;258;BARNES;17450532;2024/02/08 20:06:14+00;53704070;470202;1210;;46.34417;-91.54333;WI;Bayfield;S&PF;WISCONSIN;DNR;Park Falls DG;A;.36 inches;9 mph;167 degrees;50 deg. F;52 deg. F;60%;14.2 volts;14 (unk);166 degrees;23 mph;281 w/m2;17450530;BRNW3;https://mesowest.utah.edu/cgi-bin/droman/meso_base_dyn.cgi?stn=BRNW3&unit=0&timetype=GMT
-90.71164;35.5679200000001;263;POINSETT;17433622;2024/02/08 20:10:44+00;0720468A;32801;389;Site is located in a field just north-east of Harrisburg behind the county landfill.;35.56792;-90.71164;AR;Poinsett;S&PF;ARKANSAS;ARKANSAS FORESTRY;;A;10.56 inches;14 mph;37 degrees;64 deg. F;69 deg. F;70%;13.5 volts;11.9 (unk);173 degrees;28 mph;380 w/m2;17433621;LPSA4;https://mesowest.utah.edu/cgi-bin/droman/meso_base_dyn.cgi?stn=LPSA4&unit=0&timetype=GMT
-123.92829;40.7199400000001;271;KNEELAND;17503005;2024/02/08 19:55:39+00;CA2AB768;40429;2737;FDRA - 100, Site is on ridgetop at the Kneeland Helitack Basesurrounded by a hardwood/conifer component.;40.71994;-123.92829;CA;Humboldt;S&PF;CALIFORNIA;CDF;HUMBOLDT-DEL NORTE U;A;49.26 inches;3 mph;30 degrees;41 deg. F;49 deg. F;85%;14.1 volts;24.3 (unk);11 degrees;10 mph;323 w/m2;17503003;KNNC1;https://mesowest.utah.edu/cgi-bin/droman/meso_base_dyn.cgi?stn=KNNC1&unit=0&timetype=GMT
-120.59449;39.77948;285;DENTEN CREEK;18371095;2024/02/08 19:34:14+00;AAB03266;40921;5149;The DENTEN RAWS sits above the Mohawk Valley in a natural opening surrounded by mixed conifer on a south facing aspect.  It is approximately 1/2 to 3/4 of a mile north of HWY 70 and 2 miles south of Penman Peak.;39.77948;-120.59449;CA;Plumas;USFS;5;PLUMAS NF;;A;12.8 inches;1 mph;204 degrees;39 deg. F;42 deg. F;71%;14 volts;23 (unk);139 degrees;4 mph;365 w/m2;18371092;MWKC1;https://mesowest.utah.edu/cgi-bin/droman/meso_base_dyn.cgi?stn=MWKC1&unit=0&timetype=GMT
-84.51111;46.2408300000001;289;RUDYARD;17281059;2024/02/05 21:14:55+00;0800B04C;201505;700;;46.24083;-84.51111;MI;Chippewa;S&PF;MICHIGAN;DEPT OF NATURAL RES.;UPPER PENINSULA;A;0 inches;5 mph;27 degrees;45 deg. F;NO DATA;63%;NO DATA;NO DATA;16 degrees;10 mph;268 w/m2;17281058;RYDM4;https://mesowest.utah.edu/cgi-bin/droman/meso_base_dyn.cgi?stn=RYDM4&unit=0&timetype=GMT
-120.72028;48.3469400000001;305;STEHEKIN-AIRSTRIP;17266976;2024/02/08 20:01:24+00;FA411054;452121;1230;;48.34694;-120.72028;WA;;NPS;PACIFIC WEST;NORTH CASCADES NP;;A;4.83 inches;5 mph;340 degrees;47 deg. F;37 deg. F;47%;12 volts;27.1 (unk);295 degrees;17 mph;218 w/m2;17266974;STRW1;https://mesowest.utah.edu/cgi-bin/droman/meso_base_dyn.cgi?stn=STRW1&unit=0&timetype=GMT
-90.3805599999999;31.9497200000001;352;COPIAH;17365794;2024/02/08 20:09:34+00;3910363A;225502;150;;31.94972;-90.38056;MS;Copiah;S&PF;MISSISSIPPI;FORESTRY COMMISSION;Fire Services;A;4.08 inches;10 mph;40 degrees;66 deg. F;NO DATA;64%;13.9 volts;NO DATA;40 degrees;18 mph;260 w/m2;17365792;CYSM6;https://mesowest.utah.edu/cgi-bin/droman/meso_base_dyn.cgi?stn=CYSM6&unit=0&timetype=GMT
-77.11099;35.09686;374;NEW BERN;17084450;2024/02/08 20:17:55+00;407020F4;319004;20;;35.09686;-77.11099;NC;;S&PF;NORTH CAROLINA;DIV. OF FOREST RES.;D-4 NEW BERN;A;38.28 inches;4 mph;159 degrees;61 deg. F;76 deg. F;36%;13.5 volts;8.4 (unk);107 degrees;9 mph;477 w/m2;17084448;NBRN7;https://mesowest.utah.edu/cgi-bin/droman/meso_base_dyn.cgi?stn=NBRN7&unit=0&timetype=GMT
-114.09621;46.9268700000001;398;SMOKE USFS R2-924;18724355;1900/01/01 00:00:01+00;396240F2;;3200;;46.92687;-114.09621;CO;Jefferson;USFS;2;;;D;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;18724355;TT713;https://mesowest.utah.edu/cgi-bin/droman/meso_base_dyn.cgi?stn=TT713&unit=0&timetype=GMT
-121.584;40.0686600000001;404;CARPENTER RIDGE;17097524;2024/02/08 19:54:49+00;CA2132D4;41213;4816;;40.06866;-121.584;CA;Butte;S&PF;CALIFORNIA;CDF;BUTTE UNIT;A;33 inches;1 mph;301 degrees;35 deg. F;40 deg. F;92%;13.1 volts;24.7 (unk);331 degrees;4 mph;278 w/m2;17097522;CDEC1;https://mesowest.utah.edu/cgi-bin/droman/meso_base_dyn.cgi?stn=CDEC1&unit=0&timetype=GMT
-117.5001;33.75474;410;TEMESCAL 2  (CNF);17156670;2024/02/08 19:41:36+00;3242E0C0;45635;1748;Ridgeline above the Glen Ivy Resort. Short hike up from their water tank.;33.75474;-117.5001;CA;Riverside;USFS;5;CLEVELAND NF;TRABUCO R.D.;A;11.89 inches;18 mph;208 degrees;50 deg. F;62 deg. F;54%;14 volts;16.1 (unk);212 degrees;31 mph;656 w/m2;17156667;TSCC1;https://mesowest.utah.edu/cgi-bin/droman/meso_base_dyn.cgi?stn=TSCC1&unit=0&timetype=GMT
-122.83093;40.4378400000001;411;ARBUCKLE BASIN;17089841;2024/02/08 19:54:19+00;CA2AF462;40632;2452;Final sections of roads are extreme slopes and difficult.Parking for only two vehicles max at site.Contact George Cassel (530)225-2411 to arrange visit.;40.43784;-122.83093;CA;Shasta;S&PF;CALIFORNIA;CDF;SHASTA-TRINITY UNIT;A;18.36 inches;7 mph;294 degrees;47 deg. F;60 deg. F;56%;13.8 volts;14.7 (unk);288 degrees;19 mph;531 w/m2;17089839;PLIC1;https://mesowest.utah.edu/cgi-bin/droman/meso_base_dyn.cgi?stn=PLIC1&unit=0&timetype=GMT
-111.24447;45.45964;412;SHENANGO;16918066;2024/02/08 19:39:44+00;323FD390;244601;5391;VALLEY SITEFIRE WX ZONE 123;45.45964;-111.24447;MT;Gallatin;USFS;1;Custer Gallatin NF;BOZEMAN RD;A;1.42 inches;3 mph;191 degrees;35 deg. F;NO DATA;74%;14.4 volts;NO DATA;239 degrees;6 mph;299 w/m2;16918063;SGOM8;https://mesowest.utah.edu/cgi-bin/droman/meso_base_dyn.cgi?stn=SGOM8&unit=0&timetype=GMT
-121.80694;37.39833;419;SANJOSE;17535250;2024/02/08 19:52:24+00;32905540;;675;;37.39833;-121.80694;CA;Santa Clara;S&PF;CALIFORNIA;CDF;SAN JOSE FIRE DEPT;A;12.69 inches;4 mph;186 degrees;54 deg. F;60 deg. F;55%;14 volts;17.3 (unk);199 degrees;7 mph;618 w/m2;17535249;RJSC1;https://mesowest.utah.edu/cgi-bin/droman/meso_base_dyn.cgi?stn=RJSC1&unit=0&timetype=GMT
-154.0764;62.7238800000001;423;FAREWELL;16787244;2024/02/08 19:53:45+00;3243C4D6;500624;723;;62.72388;-154.0764;AK;Yukon-Koyukuk;BLM;R11 Alaska;ALASKA FIRE SERVICE;WASHINGTON D.C.;A;11.87 inches;2 mph;36 degrees;3 deg. F;NO DATA;80%;12.6 volts;NO DATA;76 degrees;8 mph;5 w/m2;16787243;FWLA2;https://mesowest.utah.edu/cgi-bin/droman/meso_base_dyn.cgi?stn=FWLA2&unit=0&timetype=GMT
-117.41203;33.6471100000001;440;EL CARISO;17018420;2024/02/08 20:20:34+00;3230A392;45619;2733;ridgetop;33.64711;-117.41203;CA;Riverside;USFS;5;CLEVELAND NF;TRABUCO RD;A;13.08 inches;14 mph;225 degrees;45 deg. F;60 deg. F;72%;13.8 volts;24.2 (unk);212 degrees;21 mph;606 w/m2;17018417;ECSC1;https://mesowest.utah.edu/cgi-bin/droman/meso_base_dyn.cgi?stn=ECSC1&unit=0&timetype=GMT
-114.15731;46.71853;451;FIRE EFFECTS PORTABLE #2;17501988;2024/02/08 19:26:56+00;328E632C;;3966;Luebrech Experimental Forest.  Snowmelt study.;46.71853;-114.15731;MT;Missoula;USFS;1;Missoula Fire Lab;;A;25.25 inches;0 mph;232 degrees;35 deg. F;NO DATA;75%;14.3 volts;NO DATA;173 degrees;5 mph;118 w/m2;17501988;MOMM8;https://mesowest.utah.edu/cgi-bin/droman/meso_base_dyn.cgi?stn=MOMM8&unit=0&timetype=GMT
-150.09257;61.4222;502;PT MAC;17542429;2024/02/08 15:50:34+00;32750776;500973;136;;61.4222;-150.09257;AK;Matanuska-Susitna;S&PF;ALASKA;ALASKA FIRE SERVICE;;A;.03 inches;5 mph;4 degrees;21 deg. F;NO DATA;93%;13 volts;NO DATA;331 degrees;8 mph;0 w/m2;17542428;PMZA2;https://mesowest.utah.edu/cgi-bin/droman/meso_base_dyn.cgi?stn=PMZA2&unit=0&timetype=GMT
-83.4269399999999;31.10972;528;ADEL;17327904;2024/02/08 20:04:24+00;3100E40E;98401;232;;31.10972;-83.42694;GA;Cook;S&PF;GEORGIA;GEORGIA FORESTRY COM;;A;4.09 inches;8 mph;125 degrees;68 deg. F;74 deg. F;48%;13.4 volts;9.7 (unk);71 degrees;13 mph;505 w/m2;17327903;AELG1;https://mesowest.utah.edu/cgi-bin/droman/meso_base_dyn.cgi?stn=AELG1&unit=0&timetype=GMT
-111.32278;39.3094400000001;542;JOES VALLEY;17141547;2024/02/08 20:16:24+00;323C376C;421602;8700;Open SW Aspect area in the PJ/Pine to Spruce/Fir Alpinetransition zone.;39.30944;-111.32278;UT;Sanpete;USFS;4;MANTI LA SAL NF;MANTI DIVISION;A;.7 inches;5 mph;112 degrees;26 deg. F;36 deg. F;81%;14.2 volts;12.8 (unk);124 degrees;10 mph;354 w/m2;17141544;JVAU1;https://mesowest.utah.edu/cgi-bin/droman/meso_base_dyn.cgi?stn=JVAU1&unit=0&timetype=GMT
-120.78437;40.78169;575;GRASSHOPPER;17093936;2024/02/08 19:47:44+00;CA2090D6;40721;6158;;40.78169;-120.78437;CA;Lassen;S&PF;CALIFORNIA;CDF;LASSEN-MODOC UNIT;A;6.09 inches;2 mph;357 degrees;34 deg. F;36 deg. F;71%;14.1 volts;20.9 (unk);54 degrees;7 mph;255 w/m2;17093934;GRSC1;https://mesowest.utah.edu/cgi-bin/droman/meso_base_dyn.cgi?stn=GRSC1&unit=0&timetype=GMT
-111.35944;45.16583;578;YELLOW MULE;17081131;2024/02/08 20:04:14+00;323FF57C;244606;9200;High elevation location with subalpine fir and whitebarkpine species prevalent.  Site located near USFS recreationtrail.;45.16583;-111.35944;MT;Gallatin;USFS;1;Custer Gallatin NF;BOZEMAN RD;A;.24 inches;6 mph;241 degrees;20 deg. F;NO DATA;86%;14.6 volts;NO DATA;202 degrees;9 mph;70 w/m2;17081126;YLWM8;https://mesowest.utah.edu/cgi-bin/droman/meso_base_dyn.cgi?stn=YLWM8&unit=0&timetype=GMT
-120.75278;42.7219400000001;584;SUMMER LAKE;17370920;2024/02/08 19:38:54+00;326E25AC;353429;5085;"Station is located on a bench midslope facing east. The site
is within a 2002 fire. Vegetation is grass and low evergreen
brush with a few scattered trees.";42.72194;-120.75278;OR;Lake;USFS;6;Fremont-Winema NF;;A;11.76 inches;3 mph;53 degrees;32 deg. F;NO DATA;79%;14.4 volts;NO DATA;45 degrees;7 mph;193 w/m2;17370917;SLKO3;https://mesowest.utah.edu/cgi-bin/droman/meso_base_dyn.cgi?stn=SLKO3&unit=0&timetype=GMT
-122.22083;37.8650000000001;607;OAKLAND NORTH;17063963;2024/02/08 19:33:34+00;CA4A06D4;43402;1403;"RIDGETOPSTATION LOCATED WITHIN ""KPFA"" RADIO TOWER COMPOUND ON RIDGETOP EAST OF OAKLAND CITY.";37.865;-122.22083;CA;Alameda;S&PF;CALIFORNIA;Oakland;;A;17.63 inches;6 mph;211 degrees;49 deg. F;60 deg. F;66%;13.8 volts;14.2 (unk);230 degrees;9 mph;574 w/m2;17063962;ONOC1;https://mesowest.utah.edu/cgi-bin/droman/meso_base_dyn.cgi?stn=ONOC1&unit=0&timetype=GMT
-123.32129;39.6679600000001;630;RODEO VALLEY;17102132;2024/02/08 19:28:54+00;CA4A334E;41015;2428;Site is located off hwy 162 between hwy 101 and covelo.The site is on a knoll in an open area with no obstructions.;39.66796;-123.32129;CA;Mendocino;S&PF;CALIFORNIA;CDF;MENDOCINO UNIT;A;30.25 inches;3 mph;291 degrees;40 deg. F;49 deg. F;85%;13.9 volts;23.3 (unk);335 degrees;8 mph;487 w/m2;17102130;RDVC1;https://mesowest.utah.edu/cgi-bin/droman/meso_base_dyn.cgi?stn=RDVC1&unit=0&timetype=GMT
-81.1199599999999;32.17166;683;SAVANNAH NWR;17359139;2024/02/08 20:23:41+00;8376F068;384201;7;;32.17166;-81.11996;GA;;FWS;REGION 4;SAVANNAH NWR;;A;5.09 inches;9 mph;135 degrees;64 deg. F;NO DATA;48%;13.4 volts;NO DATA;148 degrees;14 mph;521 w/m2;17359136;SVNS1;https://mesowest.utah.edu/cgi-bin/droman/meso_base_dyn.cgi?stn=SVNS1&unit=0&timetype=GMT
-118.41257;34.1248600000001;692;BEVERLY HILLS;17117239;2024/02/08 19:55:04+00;CA41E68E;45442;1260;;34.12486;-118.41257;CA;Los Angeles;S&PF;CALIFORNIA;BEVERLY HILLS;;A;17.23 inches;3 mph;217 degrees;52 deg. F;64 deg. F;61%;13.7 volts;25.8 (unk);11 degrees;6 mph;384 w/m2;17117239;BVRC1;https://mesowest.utah.edu/cgi-bin/droman/meso_base_dyn.cgi?stn=BVRC1&unit=0&timetype=GMT
-116.28322;43.57167;693;DENNIS TECH CENTER;18739729;2024/02/08 19:46:25+00;AAB6F7B6;;2759;Station is located directly in front of the Dennis Tech Center main door entrance (south side). RH and FM will be directly affected by sprinkler system.;43.57167;-116.28322;ID;Ada;BLM;R9 Columbia Pac NW;BLM/NIFC;;D;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;18739729;TT325;https://mesowest.utah.edu/cgi-bin/droman/meso_base_dyn.cgi?stn=TT325&unit=0&timetype=GMT
-156.90232;21.1408300000001;699;PUU ALII;18150933;2024/02/08 20:22:41+00;32D6062E;;3805;;21.14083;-156.90232;HI;Kalawao;NPS;PACIFIC WEST;KALAUPAPA NHP;;A;59.98 inches;4 mph;40 degrees;55 deg. F;NO DATA;90%;13.1 volts;NO DATA;79 degrees;18 mph;256 w/m2;18150930;PAFH1;https://mesowest.utah.edu/cgi-bin/droman/meso_base_dyn.cgi?stn=PAFH1&unit=0&timetype=GMT
-68.64167;44.06667;702;ISLE AU HAUT;16910378;2024/02/08 19:38:04+00;FA670202;170131;0;;44.06667;-68.64167;ME;Knox;NPS;NORTHEAST;ACADIA NP;;A;4.95 inches;2 mph;17 degrees;40 deg. F;41 deg. F;52%;13.9 volts;14.2 (unk);337 degrees;4 mph;362 w/m2;16910377;IAHM1;https://mesowest.utah.edu/cgi-bin/droman/meso_base_dyn.cgi?stn=IAHM1&unit=0&timetype=GMT
-122.5999;41.67576;709;BRAZIE RANCH;17097258;2024/02/08 19:54:39+00;CA2046BE;40242;3090;;41.67576;-122.5999;CA;Siskiyou;S&PF;CALIFORNIA;CDF;SISKIYOU UNIT;A;7.09 inches;5 mph;72 degrees;43 deg. F;55 deg. F;58%;14 volts;23.1 (unk);89 degrees;8 mph;506 w/m2;17097256;BZRC1;https://mesowest.utah.edu/cgi-bin/droman/meso_base_dyn.cgi?stn=BZRC1&unit=0&timetype=GMT
-122.80449;40.7864200000001;718;TRINITY CAMP;17104433;2024/02/08 19:28:24+00;CA20D3DC;40516;3308;This RAWS station sits on an exposed granite hill above theTrinity River Conservation Camp. It is also about 75 yardsfrom a USFS helicopter landing pad.;40.78642;-122.80449;CA;Trinity;S&PF;CALIFORNIA;CDF;SHASTA-TRINITY UNIT;A;21 inches;4 mph;309 degrees;36 deg. F;45 deg. F;84%;14 volts;24.3 (unk);301 degrees;6 mph;340 w/m2;17104431;TCAC1;https://mesowest.utah.edu/cgi-bin/droman/meso_base_dyn.cgi?stn=TCAC1&unit=0&timetype=GMT
-88.1652799999999;34.7775;724;TISHOMINGO;17402653;2024/02/08 20:14:14+00;391096C2;220601;300;;34.7775;-88.16528;MS;Tishomingo;S&PF;MISSISSIPPI;FORESTRY COMMISSION;Fire Services;A;9.03 inches;12 mph;32 degrees;60 deg. F;NO DATA;48%;13 volts;NO DATA;37 degrees;25 mph;196 w/m2;17402652;TISM6;https://mesowest.utah.edu/cgi-bin/droman/meso_base_dyn.cgi?stn=TISM6&unit=0&timetype=GMT
-116.69944;32.6675000000001;732;BARRETT;17568018;2024/02/08 15:50:04+00;CA8003E2;;2395;;32.6675;-116.69944;CA;San Diego;S&PF;CALIFORNIA;;San Diego Gas & Elec;A;14.17 inches;11 mph;256 degrees;42 deg. F;43 deg. F;94%;14.2 volts;26.5 (unk);277 degrees;21 mph;100 w/m2;17568017;BAJC1;https://mesowest.utah.edu/cgi-bin/droman/meso_base_dyn.cgi?stn=BAJC1&unit=0&timetype=GMT
